Date,Inventory
2010-01-01,13501
2010-02-01,7831
2010-03-01,6505
2010-04-01,9158
2010-05-01,8881
2010-06-01,10307
2010-07-01,14361
2010-08-01,12156
2010-09-01,13186
2010-10-01,18347
2010-11-01,15307
2010-12-01,16968
2011-01-01,10574
2011-02-01,7630
2011-03-01,6521
2011-04-01,8280
2011-05-01,7876
2011-06-01,9231
2011-07-01,13281
2011-08-01,11482
2011-09-01,16055
2011-10-01,14655
2011-11-01,15377
2011-12-01,18206
2012-01-01,12731
2012-02-01,10757
2012-03-01,12083
2012-04-01,10103
2012-05-01,10832
2012-06-01,14992
2012-07-01,12705
2012-08-01,16585
2012-09-01,14155
2012-10-01,15252
2012-11-01,19391
2012-12-01,14700
2013-01-01,12281
2013-02-01,9839
2013-03-01,9364
2013-04-01,6889
2013-05-01,10276
2013-06-01,9925
2013-07-01,11063
2013-08-01,15330
2013-09-01,13424
2013-10-01,14752
2013-11-01,18827
2013-12-01,12827
2014-01-01,11878
2014-02-01,5681
2014-03-01,3674
2014-04-01,3557
2014-05-01,6361
2014-06-01,7083
2014-07-01,8677
2014-08-01,12750
2014-09-01,11778
2014-10-01,16947
2014-11-01,14047
2014-12-01,13121
2015-01-01,13551
2015-02-01,8073
2015-03-01,5919
2015-04-01,6354
2015-05-01,10005
2015-06-01,9862
2015-07-01,14035
2015-08-01,12286
2015-09-01,13576
2015-10-01,18984
2015-11-01,15950
2015-12-01,15296
2016-01-01,16435
2016-02-01,10685
2016-03-01,9918
2016-04-01,12623
2016-05-01,11167
2016-06-01,12256
2016-07-01,16281
2016-08-01,13407
2016-09-01,17767
2016-10-01,15467
2016-11-01,16104
2016-12-01,18027
2017-01-01,11586
2017-02-01,9723
2017-03-01,10729
2017-04-01,8621
2017-05-01,9639
2017-06-01,13804
2017-07-01,11878
2017-08-01,12391
2017-09-01,16913
2017-10-01,14725
2017-11-01,14981
2017-12-01,17223
2018-01-01,9844
2018-02-01,7404
2018-03-01,7340
2018-04-01,5258
2018-05-01,6324
2018-06-01,9964
2018-07-01,9028
2018-08-01,12245
2018-09-01,10992
2018-10-01,12231
2018-11-01,15613
2018-12-01,11117
2019-01-01,9714
2019-02-01,7086
2019-03-01,5960
2019-04-01,5203
2019-05-01,8806
2019-06-01,8982
2019-07-01,10207
2019-08-01,14022
2019-09-01,12644
2019-10-01,14235
2019-11-01,18300
2019-12-01,13371
