Date,Supply
2010-01-01,939065.9918
2010-02-01,751805.7417
2010-03-01,1145331.923
2010-04-01,1147815.062
2010-05-01,1415034.523
2010-06-01,1300262.454
2010-07-01,1631809.894
2010-08-01,1530934.673
2010-09-01,1470057.077
2010-10-01,1254258.252
2010-11-01,1118834.625
2010-12-01,1116815.845
2011-01-01,1139970.549
2011-02-01,972981.4486
2011-03-01,1157368.334
2011-04-01,1347545.24
2011-05-01,1391961.114
2011-06-01,1405480.42
2011-07-01,1571076.836
2011-08-01,1683027.923
2011-09-01,1653242.184
2011-10-01,1486968.373
2011-11-01,1413617.506
2011-12-01,1071582.011
2012-01-01,1158654.185
2012-02-01,1143358.018
2012-03-01,1348081.296
2012-04-01,1377920.902
2012-05-01,1609771.065
2012-06-01,1652345.722
2012-07-01,1646935.817
2012-08-01,1606899.237
2012-09-01,1512185.42
2012-10-01,1304885.877
2012-11-01,1437909.513
2012-12-01,1337420.063
2013-01-01,1233291.693
2013-02-01,1090053.164
2013-03-01,1412094.11
2013-04-01,1348139.821
2013-05-01,1497700.321
2013-06-01,1569916.043
2013-07-01,1671141.812
2013-08-01,1705808.833
2013-09-01,1492861.905
2013-10-01,1525081.07
2013-11-01,1289856.02
2013-12-01,1259015.437
2014-01-01,1244446.896
2014-02-01,992624.9633
2014-03-01,1319347.121
2014-04-01,1482808.989
2014-05-01,1651469.599
2014-06-01,1565214.935
2014-07-01,1888195.387
2014-08-01,1629631.023
2014-09-01,1821031.307
2014-10-01,1575709.121
2014-11-01,1487617.001
2014-12-01,1410390.659
2015-01-01,1428298.861
2015-02-01,1082410.416
2015-03-01,1527656.85
2015-04-01,1547457.219
2015-05-01,1847705.734
2015-06-01,1936883.357
2015-07-01,1980808.846
2015-08-01,1772303.427
2015-09-01,1447247.324
2015-10-01,1711419.017
2015-11-01,1509724.556
2015-12-01,1529597.536
2016-01-01,1519195.064
2016-02-01,1191794.019
2016-03-01,1350037.848
2016-04-01,1583233.253
2016-05-01,1677132.957
2016-06-01,1879815.645
2016-07-01,1934155.163
2016-08-01,1843887.789
2016-09-01,1971034.888
2016-10-01,1723850.741
2016-11-01,1638535.176
2016-12-01,1753048.642
2017-01-01,1661765.981
2017-02-01,1463222.78
2017-03-01,1707228.609
2017-04-01,1692465.054
2017-05-01,1856125.866
2017-06-01,1974999.667
2017-07-01,1997687.251
2017-08-01,2256495.788
2017-09-01,2024006.983
2017-10-01,1988545.138
2017-11-01,1806954.112
2017-12-01,1807975.188
2018-01-01,1925660.805
2018-02-01,1514113.507
2018-03-01,1860656.305
2018-04-01,2040625.66
2018-05-01,2105055.344
2018-06-01,2119795.972
2018-07-01,1965119.808
2018-08-01,2068389.539
2018-09-01,1539723.619
2018-10-01,1873668.714
2018-11-01,1793463.121
2018-12-01,1822098.95
2019-01-01,1997439.92
2019-02-01,1463625.281
2019-03-01,1755060.04
2019-04-01,1673481.813
2019-05-01,1923699.682
2019-06-01,1545012.555
2019-07-01,2080569.666
2019-08-01,1813896.802
2019-09-01,1931576.797
2019-10-01,1909830.036
2019-11-01,1993563.095
2019-12-01,2152876.321
