Date,WTI
2010-01-01,1566.51
2010-02-01,1523.84
2010-03-01,1868.78
2010-04-01,1774.46
2010-05-01,1548.45
2010-06-01,1656.33
2010-07-01,1674.22
2010-08-01,1685.31
2010-09-01,1654.65
2010-10-01,1720.68
2010-11-01,1854.31
2010-12-01,2051.8
2011-01-01,1882.33
2011-02-01,1789.05
2011-03-01,2368.28
2011-04-01,2311.26
2011-05-01,2227.7
2011-06-01,2117.62
2011-07-01,2040.91
2011-08-01,1985.37
2011-09-01,1883.74
2011-10-01,1816.63
2011-11-01,2138.88
2011-12-01,2172.83
2012-01-01,2205.81
2012-02-01,2148.95
2012-03-01,2338.55
2012-04-01,2170.57
2012-05-01,2174.19
2012-06-01,1729.84
2012-07-01,1933.03
2012-08-01,2164.83
2012-09-01,1893.18
2012-10-01,2059.09
2012-11-01,1905.68
2012-12-01,1763.82
2013-01-01,2085.82
2013-02-01,1906.59
2013-03-01,1858.41
2013-04-01,2024.47
2013-05-01,2177.76
2013-06-01,1915.7
2013-07-01,2404.32
2013-08-01,2344.03
2013-09-01,2232.23
2013-10-01,2312.46
2013-11-01,1971.8
2013-12-01,2154.1
2014-01-01,2087.06
2014-02-01,2014.36
2014-03-01,2111.06
2014-04-01,2247.02
2014-05-01,2243.34
2014-06-01,2209.22
2014-07-01,2362
2014-08-01,2023.58
2014-09-01,2052.25
2014-10-01,1941.83
2014-11-01,1523.19
2014-12-01,1361.36
2015-01-01,995.41
2015-02-01,1016.55
2015-03-01,1052.6
2015-04-01,1143.34
2015-05-01,1244.51
2015-06-01,1315.7
2015-07-01,1176.72
2015-08-01,900.13
2015-09-01,1000.59
2015-10-01,1016.32
2015-11-01,895.45
2015-12-01,855.35
2016-01-01,628.76
2016-02-01,637.32
2016-03-01,868.8
2016-04-01,860.22
2016-05-01,1030.61
2016-06-01,1072.47
2016-07-01,942.73
2016-08-01,1029.23
2016-09-01,993.68
2016-10-01,1047.59
2016-11-01,1003.71
2016-12-01,1142.42
2017-01-01,1156.31
2017-02-01,1068.03
2017-03-01,1140.45
2017-04-01,1023.36
2017-05-01,1067.07
2017-06-01,993.69
2017-07-01,980.15
2017-08-01,1104.73
2017-09-01,1043.83
2017-10-01,1134.42
2017-11-01,1247.63
2017-12-01,1211.02
2018-01-01,1401.39
2018-02-01,1181.32
2018-03-01,1382.95
2018-04-01,1392.73
2018-05-01,1606.89
2018-06-01,1413.99
2018-07-01,1556.36
2018-08-01,1560.44
2018-09-01,1402.67
2018-10-01,1625.97
2018-11-01,1242.45
2018-12-01,932.76
2019-01-01,1131.35
2019-02-01,1043.23
2019-03-01,1220.13
2019-04-01,1340.1
2019-05-01,1337.15
2019-06-01,1092.23
2019-07-01,1203.95
2019-08-01,1204.67
2019-09-01,1137.96
2019-10-01,1240.04
2019-11-01,1081.47
2019-12-01,1255.2
